id,sepostulo
0,1
1,1
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,1
336,1
337,0
338,0
339,1
340,0
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,0
359,1
360,1
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,1
381,1
382,0
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,0
402,0
403,1
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,1
442,1
443,0
444,0
445,1
446,1
447,0
448,1
449,0
450,0
451,0
452,1
453,0
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,0
467,1
468,1
469,1
470,1
471,0
472,0
473,1
474,0
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,0
491,1
492,1
493,1
494,0
495,1
496,1
497,1
498,0
499,0
500,1
501,0
502,0
503,0
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,0
523,1
524,0
525,1
526,1
527,1
528,1
529,1
530,0
531,1
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,0
545,1
546,0
547,1
548,1
549,0
550,1
551,1
552,0
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,0
564,0
565,0
566,1
567,0
568,1
569,0
570,0
571,0
572,0
573,1
574,1
575,0
576,1
577,1
578,1
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,1
588,0
589,1
590,1
591,1
592,0
593,1
594,1
595,1
596,1
597,1
598,0
599,0
600,0
601,1
602,1
603,1
604,1
605,1
606,0
607,1
608,1
609,1
610,0
611,0
612,0
613,1
614,0
615,1
616,1
617,0
618,1
619,0
620,0
621,0
622,1
623,1
624,0
625,1
626,0
627,1
628,1
629,1
630,0
631,0
632,1
633,1
634,1
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,0
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,0
656,1
657,1
658,1
659,0
660,1
661,1
662,1
663,1
664,0
665,1
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,1
676,1
677,0
678,1
679,1
680,0
681,0
682,0
683,0
684,1
685,0
686,0
687,0
688,1
689,1
690,1
691,1
692,1
693,0
694,1
695,0
696,1
697,0
698,0
699,0
700,1
701,1
702,0
703,0
704,1
705,1
706,0
707,0
708,0
709,0
710,0
711,0
712,1
713,1
714,1
715,1
716,0
717,0
718,0
719,0
720,1
721,1
722,0
723,0
724,0
725,0
726,1
727,1
728,1
729,0
730,0
731,0
732,1
733,1
734,1
735,1
736,1
737,0
738,0
739,0
740,0
741,0
742,1
743,1
744,0
745,1
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,1
759,0
760,0
761,1
762,0
763,0
764,0
765,0
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,1
788,1
789,0
790,1
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,1
801,0
802,1
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
