id,sepostulo
0,1
1,1
2,1
3,1
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,0
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,1
290,1
291,0
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,0
335,1
336,1
337,0
338,0
339,1
340,1
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,0
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,0
429,1
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,1
473,1
474,0
475,1
476,0
477,1
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,0
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,1
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,0
531,1
532,0
533,1
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,1
542,1
543,0
544,0
545,1
546,1
547,1
548,0
549,1
550,1
551,1
552,1
553,1
554,0
555,1
556,0
557,0
558,1
559,0
560,1
561,0
562,1
563,1
564,1
565,0
566,0
567,0
568,1
569,1
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,0
580,1
581,1
582,1
583,0
584,1
585,0
586,1
587,1
588,0
589,1
590,1
591,1
592,0
593,1
594,0
595,1
596,1
597,1
598,1
599,0
600,1
601,1
602,1
603,1
604,0
605,0
606,0
607,1
608,1
609,1
610,1
611,0
612,1
613,1
614,0
615,1
616,1
617,0
618,1
619,1
620,0
621,1
622,0
623,1
624,1
625,1
626,0
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,1
639,1
640,1
641,0
642,1
643,1
644,0
645,0
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,0
656,1
657,1
658,0
659,1
660,1
661,1
662,1
663,1
664,0
665,1
666,0
667,0
668,1
669,1
670,1
671,0
672,0
673,1
674,1
675,1
676,0
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,1
704,0
705,1
706,0
707,0
708,1
709,1
710,0
711,0
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,0
721,1
722,0
723,0
724,0
725,0
726,0
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,0
741,1
742,1
743,1
744,0
745,1
746,0
747,1
748,1
749,1
750,1
751,0
752,1
753,1
754,0
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,0
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,0
774,1
775,1
776,1
777,0
778,1
779,0
780,0
781,1
782,1
783,1
784,1
785,1
786,0
787,1
788,1
789,1
790,1
791,1
792,1
793,0
794,0
795,0
796,1
797,1
798,1
799,1
800,1
801,0
802,0
803,1
804,1
805,0
806,0
807,0
808,0
809,1
810,1
811,1
