id,sepostulo
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,1
131,0
132,1
133,1
134,0
135,1
136,0
137,0
138,1
139,1
140,1
141,0
142,1
143,0
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,0
168,1
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,0
177,0
178,1
179,0
180,0
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,1
233,0
234,1
235,0
236,1
237,0
238,0
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,0
257,1
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,0
292,1
293,1
294,0
295,0
296,1
297,0
298,0
299,1
300,0
301,0
302,1
303,0
304,0
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,0
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,1
333,1
334,0
335,1
336,1
337,1
338,0
339,0
340,0
341,0
342,1
343,1
344,1
345,0
346,1
347,0
348,0
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,0
357,1
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,1
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,0
406,0
407,1
408,0
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,0
417,0
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,0
468,0
469,0
470,1
471,1
472,0
473,0
474,1
475,0
476,1
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,0
490,0
491,0
492,0
493,1
494,1
495,0
496,1
497,1
498,1
499,0
500,0
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,0
509,0
510,1
511,0
512,1
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,0
529,1
530,0
531,0
