id,sepostulo
0,0.4075
1,0.5125
2,0.45
3,0.5175
4,0.5925
5,0.6125
6,0.685
7,0.355
8,0.675
9,0.3625
10,0.54
11,0.38
12,0.5575
13,0.49
14,0.4725
15,0.5275
16,0.4875
17,0.61
18,0.5275
19,0.5525
20,0.4525
21,0.495
22,0.4375
23,0.4925
24,0.4775
25,0.3525
26,0.53
27,0.3875
28,0.4
29,0.5
30,0.5275
31,0.575
32,0.5675
33,0.4575
34,0.4575
35,0.6575
36,0.53
37,0.49
38,0.4225
39,0.5375
40,0.48
41,0.5575
42,0.4725
43,0.3775
44,0.525
45,0.3575
46,0.37
47,0.4475
48,0.51
49,0.5575
50,0.5075
51,0.555
52,0.515
53,0.55
54,0.52
55,0.6
56,0.535
57,0.61
58,0.5675
59,0.4825
60,1.0
61,0.52
62,0.5
63,0.5325
64,0.52
65,0.57
66,0.6275
67,0.6
68,0.52
69,0.4825
70,0.485
71,0.545
72,0.61
73,0.6925
74,0.4675
75,0.4525
76,0.5425
77,0.68
78,0.6575
79,0.565
80,0.4325
81,0.5675
82,0.445
83,0.6975
84,0.525
85,0.4575
86,0.56
87,0.5025
88,0.4825
89,0.5225
90,0.0
91,0.5675
92,0.3775
93,0.56
94,0.0
95,0.3975
96,0.43
97,0.3925
98,0.54
99,0.5
100,0.53
101,1.0
102,0.535
103,0.44
104,0.5675
105,0.485
106,0.4625
107,0.0
108,0.37
109,1.0
110,0.5325
111,0.6075
112,1.0
113,0.525
114,0.5325
115,0.35
116,0.475
117,0.5925
118,0.5725
119,0.425
120,0.4625
121,0.435
122,0.54
123,0.355
124,0.5325
125,0.51
126,0.4875
127,0.515
128,0.5975
129,0.4775
130,0.55
131,0.4925
132,0.3925
133,0.0
134,0.0
135,0.5075
136,0.5225
137,0.4925
138,0.4025
139,0.5475
140,0.545
141,0.57
142,0.485
143,0.5575
144,0.56
145,0.44
146,0.36
147,0.5375
148,0.4375
149,0.53
150,0.5725
151,0.4675
152,0.5075
153,0.43
154,0.4225
155,0.4925
156,0.4625
157,0.6375
158,0.525
159,0.495
160,0.4375
161,0.5175
162,0.595
163,0.4975
