id,sepostulo
0,0.47
1,0.54
2,0.56
3,0.27
4,0.57
5,0.69
6,0.66
7,0.34
8,0.71
9,0.29
10,0.63
11,0.32
12,0.64
13,0.45
14,0.43
15,0.52
16,0.35
17,0.58
18,0.51
19,0.56
20,0.5
21,0.52
22,0.51
23,0.59
24,0.46
25,0.32
26,0.99
27,0.25
28,0.36
29,0.45
30,0.37
31,0.51
32,0.57
33,0.61
34,0.45
35,0.66
36,0.71
37,0.44
38,0.48
39,0.52
40,0.55
41,0.55
42,0.59
43,0.37
44,0.59
45,0.31
46,0.3
47,0.33
48,0.5
49,0.61
50,0.39
51,0.49
52,0.49
53,0.58
54,0.5
55,1.0
56,0.43
57,0.65
58,0.47
59,0.44
60,0.99
61,0.56
62,0.44
63,0.53
64,0.56
65,0.56
66,0.57
67,0.59
68,0.5
69,0.43
70,0.54
71,0.54
72,0.62
73,0.64
74,0.52
75,0.54
76,0.53
77,0.66
78,0.74
79,0.5
80,0.56
81,0.58
82,0.85
83,0.59
84,0.44
85,0.51
86,0.51
87,0.5
88,0.5
89,0.44
90,0.21
91,0.55
92,0.35
93,0.47
94,0.26
95,0.35
96,0.37
97,0.55
98,0.49
99,0.51
100,0.43
101,0.81
102,0.48
103,0.28
104,0.55
105,0.45
106,0.56
107,0.41
108,0.37
109,1.0
110,0.59
111,1.0
112,0.99
113,0.6
114,0.99
115,0.32
116,0.38
117,0.52
118,0.48
119,0.99
120,1.0
121,0.25
122,0.58
123,1.0
124,0.5
125,0.52
126,0.49
127,0.99
128,0.57
129,0.57
130,1.0
131,1.0
132,0.29
133,1.0
134,0.37
135,0.51
136,0.48
137,0.42
138,0.37
139,0.53
140,0.56
141,0.63
142,0.43
143,0.61
144,0.55
145,0.43
146,0.32
147,0.98
148,0.51
149,0.48
150,0.56
151,0.73
152,0.52
153,0.39
154,0.44
155,0.48
156,0.45
157,1.0
158,0.5
159,0.4
160,0.33
161,0.57
162,0.53
163,0.47
164,0.57
165,0.45
166,0.53
167,0.35
168,0.5
169,0.37
