id,sepostulo
0,0.55
1,0.53
2,0.62
3,0.41
4,0.58
5,0.69
6,0.69
7,0.31
8,0.63
9,0.31
10,0.48
11,0.35
12,0.49
13,0.45
14,0.53
15,0.46
16,0.5
17,0.65
18,0.58
19,0.48
20,0.46
21,0.52
22,0.45
23,0.51
24,0.39
25,0.22
26,0.55
27,0.3
28,0.43
29,0.38
30,0.47
31,0.6
32,0.63
33,0.34
34,0.48
35,0.73
36,0.75
37,0.51
38,0.37
39,0.53
40,0.39
41,0.54
42,0.43
43,0.36
44,0.62
45,0.38
46,0.3
47,0.36
48,0.54
49,0.63
50,0.51
51,0.57
52,0.64
53,0.62
54,0.5
55,0.67
56,0.52
57,0.6
58,0.5
59,0.41
60,0.99
61,0.54
62,0.55
63,0.58
64,0.49
65,0.63
66,0.67
67,0.59
68,0.53
69,0.38
70,0.44
71,0.59
72,0.66
73,0.74
74,0.54
75,0.5
76,0.6
77,0.69
78,0.99
79,0.47
80,0.45
81,0.48
82,0.44
83,0.67
84,0.42
85,0.57
86,0.52
87,0.51
88,0.42
89,0.49
90,0.31
91,0.54
92,0.3
93,0.52
94,0.25
95,0.39
96,0.43
97,0.33
98,0.52
99,0.48
100,0.47
101,0.83
102,0.58
103,0.45
104,0.65
105,0.61
106,0.45
107,0.28
108,0.31
109,0.95
110,0.68
111,0.59
112,1.0
113,0.57
114,0.49
115,0.35
116,0.55
117,0.59
118,0.63
119,0.37
120,0.51
121,0.25
122,0.57
123,0.35
124,0.53
125,0.41
126,0.47
127,0.45
128,0.64
129,0.38
130,0.47
131,0.58
132,0.31
133,0.3
134,0.28
135,0.47
136,0.49
137,0.45
138,0.35
139,0.54
140,0.47
141,0.63
142,0.39
143,0.66
144,0.48
145,0.52
146,0.22
147,0.58
148,0.46
149,0.65
150,0.56
151,0.51
152,0.42
153,0.45
154,0.53
155,0.43
156,0.46
157,0.68
158,0.57
159,0.33
160,0.41
161,0.52
162,0.63
163,0.49
164,0.56
165,0.58
166,0.67
167,0.35
168,0.45
169,0.55
170,0.57
171,0.43
172,0.99
173,0.52
174,0.59
175,0.64
176,0.39
177,0.46
178,0.44
179,0.67
180,0.69
181,0.51
182,0.46
183,0.71
184,0.38
185,0.57
186,0.43
187,0.32
188,0.37
189,0.37
190,0.37
191,0.58
192,0.47
193,0.56
194,0.38
195,0.55
196,0.48
197,0.55
198,1.0
199,0.71
200,0.98
201,0.32
202,0.36
203,0.48
204,0.57
205,0.5
206,0.55
207,0.71
208,0.32
209,0.93
210,0.59
211,0.31
212,0.35
213,0.42
214,0.43
215,0.23
216,0.35
217,0.62
218,0.49
219,0.53
220,0.37
221,0.46
222,0.56
223,0.61
224,0.48
225,0.53
226,0.53
227,0.64
228,0.35
229,0.42
230,0.35
231,0.33
232,0.42
233,0.58
234,0.27
235,0.54
236,0.64
237,0.56
238,0.43
239,0.46
240,0.41
241,0.38
242,0.61
243,0.57
244,0.43
245,0.42
246,0.48
247,0.39
248,0.42
249,0.4
250,0.64
251,0.55
252,0.46
253,0.57
254,0.47
255,0.69
256,0.65
257,0.4
258,0.74
259,0.41
260,0.49
261,0.39
262,0.49
263,0.57
264,0.36
265,0.54
266,0.4
267,0.59
268,0.62
269,0.54
270,0.55
271,0.46
272,0.36
273,0.32
274,0.99
275,0.57
276,0.47
277,0.6
278,0.39
279,0.63
280,0.64
281,0.63
282,0.26
283,0.37
284,0.58
285,0.51
286,0.56
287,0.63
288,0.59
289,0.48
290,0.47
291,0.48
292,0.4
293,0.6
294,0.47
295,0.45
296,0.34
297,0.54
298,0.38
299,0.63
300,0.36
301,0.55
302,0.53
303,0.49
304,0.43
305,0.61
306,0.59
307,0.57
308,0.43
309,0.46
310,0.5
311,0.39
312,0.51
313,0.37
314,0.51
315,0.62
316,0.6
317,0.37
318,0.39
319,0.6
320,0.67
321,0.41
322,0.38
323,0.44
324,0.49
325,0.35
326,0.6
327,0.51
328,0.54
329,0.55
330,0.49
331,0.4
332,0.48
333,0.65
334,0.4
335,0.55
336,0.74
337,0.4
338,0.31
339,0.48
340,0.41
341,0.35
342,0.51
343,0.54
344,0.3
345,0.6
346,0.5
347,0.5
348,0.61
349,0.4
350,0.61
351,0.67
352,0.52
353,0.48
354,0.35
355,0.55
356,0.4
357,0.38
358,0.57
359,0.21
360,0.37
361,0.63
362,0.47
363,0.29
364,0.68
365,0.36
366,0.55
367,0.46
368,0.52
369,0.48
370,0.48
371,0.4
372,0.52
373,0.5
374,0.54
375,0.63
376,0.64
377,0.48
378,0.29
379,0.67
380,0.7
381,0.56
382,0.54
383,0.22
384,0.55
385,0.4
386,0.41
387,0.57
388,0.58
389,0.71
390,0.43
391,0.66
392,0.51
393,0.21
394,0.21
395,0.58
396,0.49
397,0.5
398,0.58
399,0.49
400,0.62
401,0.54
402,0.49
403,0.63
404,0.46
405,0.55
406,0.33
407,0.55
408,0.43
409,0.49
410,0.48
411,0.38
412,0.41
413,0.65
414,0.69
415,0.51
416,0.4
417,0.44
418,0.48
419,0.5
420,0.69
421,0.76
422,0.63
423,0.42
424,0.53
425,0.31
426,0.29
427,0.35
428,0.49
429,0.44
430,0.51
431,0.41
432,0.37
433,0.35
434,0.49
435,0.26
436,0.38
437,0.61
438,0.67
439,0.56
440,0.67
441,0.5
442,0.38
443,0.46
444,0.36
445,0.47
446,0.5
447,0.56
448,0.45
449,0.48
450,0.33
451,0.31
452,0.57
453,0.59
454,0.44
455,0.56
456,0.78
457,0.32
458,0.56
459,0.39
460,0.47
461,0.59
462,0.38
463,0.37
464,0.56
465,0.29
466,0.62
467,0.58
468,0.3
469,0.24
470,0.79
471,0.57
472,0.41
473,0.42
474,0.51
475,0.54
476,0.48
477,0.35
478,0.43
479,0.53
480,0.23
481,0.28
482,0.27
483,0.49
484,0.32
485,0.63
486,0.4
487,0.32
488,0.69
489,0.61
490,0.55
491,0.55
492,0.49
493,0.66
494,0.54
495,0.31
496,0.61
497,0.41
498,0.35
499,0.59
500,0.3
501,0.41
502,0.55
